中证500指数,1D,2D,3D,5D,10D,20D,50D,100D,200D,z_score2D,2D正,2D负,3D正,3D负,5D正,5D负,10D正,10D负,20D正,20D负,50D正,50D负,100D正,100D负,200D正,200D负,1D正,1D负
2260.596,0.20605185535141624,5.206812716646404,4.210880670407264,4.7928068527061,3.5599461380980997,11.1174221311548,52.97147300977264,61.23137438091547,83.66289244075456,1.9491881259499653,3.6486478494831602,4.762407658542398,4.055155058207949,0.6084060048653435,8.457633587612625,2.750296466451589,19.477420944156954,13.800740533687428,11.1174221311548,19.056613764135516,52.97147300977264,11.582591020622452,61.23137438091547,2.1307234314544647,83.66289244075456,14.391745221277269,2.136787083284936,3.645314458134107
2255.938,5.01108629758442,4.013097877689897,5.710883898405021,2.5576500772627644,5.683666838361683,11.528020716881406,57.726675112525236,64.22020463328336,82.13935843981527,1.5094598300953452,2.2090365085095915,2.6039719801151424,4.608158202350021,3.1539107228347705,8.848076627475928,6.648119283052265,22.760552909745616,13.087221289246042,11.528020716881406,9.738304087333855,57.726675112525236,11.816604373799835,64.22020463328336,1.1638267931712358,82.13935843981527,14.320849435200387,1.8062185230996235,0.8496161671506078
2142.891,1.0506367332729534,0.736715026569259,0.43674643273969244,4.435736582028665,13.676290581275472,20.42595726987514,70.31729565339533,69.04816903892919,90.30557317194389,0.30253988516947683,2.7486728887464893,3.4409378182774653,4.639699444138425,3.7331380402390715,10.268275073569907,14.826584989602907,9.431867963401615,1.879348218547373,20.42595726987514,11.94538801311501,70.31729565339533,7.803055577659336,69.04816903892919,3.142588303503017,90.30557317194389,14.71991924103888,1.8097414412514434,5.861664777020877
2165.405,1.7687684290005974,0.6075076025039288,1.516298336800729,5.220270572941319,16.02457738852546,21.68065558175028,58.66685446833271,56.09915927967285,93.27871691438781,0.2549437939240341,4.230908624317507,0.967829260046126,6.495551025386676,0.35499177011578303,11.105626915673438,24.00430014400316,12.314383201724437,6.154315051755975,21.68065558175028,9.467529129324458,58.66685446833271,3.6053283326390613,56.09915927967285,6.367074662149351,93.27871691438781,17.947244654382473,0.3921973100074697,0.42837524101014773
2127.104,1.1821706884101664,3.344218242267431,5.210840654711766,7.5349865356842,19.477420944156954,24.02059325731136,69.92074670537973,68.8388061890721,93.82841647611025,1.2007520009987944,4.053143175434148,2.6920212011331133,7.318442149579335,0.6444930072205023,12.859151704859991,24.593939026829954,7.9469111609013945,6.868256386964262,24.02059325731136,3.0616835044586055,69.92074670537973,0.1439940261735092,68.8388061890721,11.05232392332534,93.82841647611025,14.886793608760623,2.3472696503118744,0.19349804023543843
2152.25,2.136787083284936,3.981600650482052,5.863398768730406,8.773237309792083,22.760552909745616,25.287350447206403,75.73497502613543,72.457381809734,93.76294575444302,1.4355443241108479,5.379005921587418,0.37947896210435317,6.595661864691863,3.1323028787468092,0.8982626151454797,16.14234656313037,9.456054763067469,8.009481924652311,25.287350447206403,14.13817839312776,75.73497502613543,0.2747114655430548,72.457381809734,4.839152583695845,93.76294575444302,11.872774036765,1.8404389100377856,0.4524620519800819
2198.239,1.8062185230996235,3.6486478494831602,4.055155058207949,8.457633587612625,9.431867963401615,24.074543304890863,73.83987819340845,64.04890460045519,90.78976398835614,1.3128946233571492,4.328890592986182,6.414136460899153,8.462991372186487,4.163095768321467,3.184536357139019,7.756138377297239,7.297682429246091,12.847871335061086,24.074543304890863,10.279904308610725,73.83987819340845,0.7350222517612098,64.04890460045519,2.029384736206909,90.78976398835614,8.827490742336849,2.1727167410884656,3.2669251197316957
2237.944,1.8097414412514434,2.2090365085095915,4.608158202350021,8.848076627475928,12.314383201724437,21.03461927554934,70.02418291074306,63.24407581244215,90.93618964549604,0.7825855235618703,5.1628680442063,12.070562256020892,4.078153488522908,10.372763850565168,4.590546788417238,4.478481558103375,5.530044569193831,16.935918434483252,21.03461927554934,9.57076669287336,70.02418291074306,0.25351981001596424,63.24407581244215,4.472368301196615,90.93618964549604,15.028598496755802,3.138107004264038,0.23114999303843184
2278.445,0.3921973100074697,2.7486728887464893,4.639699444138425,10.268275073569907,7.9469111609013945,21.172290750928806,69.11836800976103,61.12633835795904,88.33318337725949,0.9813711783252459,2.242167565828359,11.126704589187534,2.29687933902309,18.40269257545312,2.6681169493298995,13.22857686715017,5.937620460771318,17.895064071445553,21.172290750928806,14.513649134418536,69.11836800976103,1.2607927731499116,61.12633835795904,4.123268041955646,88.33318337725949,17.597014454121304,1.1545524959779552,8.18692268879272
2287.381,2.3472696503118744,4.230908624317507,6.495551025386676,11.105626915673438,9.456054763067469,18.513750004918293,68.1317192020044,59.826675136324035,90.70806306426435,1.5273818106695847,2.130708096040237,15.209144986586704,3.0722812886806112,18.79574865038747,7.130197832008067,13.2551474012223,4.8748966128828055,18.200949297565288,18.513750004918293,16.448577825652418,68.1317192020044,9.191245630475123,59.826675136324035,3.18222302823929,90.70806306426435,13.081369821749893,3.9625656476387676,4.229941617210244
2341.072,1.8404389100377856,4.053143175434148,7.318442149579335,12.859151704859991,7.297682429246091,17.530644081002194,66.74792573658563,50.873787734849664,91.52896621718597,1.4618984176947243,0.49231590177167506,7.587562196340716,4.89518757792855,14.24253025166943,5.3669063541343345,8.505151473380067,3.8025363095825946,17.599218237130184,17.530644081002194,14.860939592646064,66.74792573658563,5.138182309742041,50.873787734849664,1.5311401400272524,91.52896621718597,4.9006466626839424,4.4878685918620596,7.201377015362315
2384.158,2.1727167410884656,5.379005921587418,6.595661864691863,0.8982626151454797,5.530044569193831,17.89126391791148,71.59655526185765,51.43216179464617,90.211261166416,1.9503059894836066,2.734207672549561,1.2807230596473895,4.85070963746863,5.643587256169892,7.34821546580378,14.093306462379143,2.05831391075479,22.72972288414096,17.89126391791148,15.305928604689415,71.59655526185765,5.200374979273565,51.43216179464617,0.47172784686399394,90.211261166416,4.484927319404186,1.7957228083143424,8.629188358269099
2435.959,3.138107004264038,4.328890592986182,8.462991372186487,3.184536357139019,5.937620460771318,17.366753709729927,68.27565652788083,48.78497544498902,86.56639951657642,1.5634753924037454,4.724795638160993,0.9679028920849333,4.491208817184536,1.4574071591970172,8.404282506817351,13.04149795729789,13.380631815940806,12.898624010632483,17.366753709729927,20.434404062907955,68.27565652788083,5.4047282683226,48.78497544498902,1.1416446475455495,86.56639951657642,4.822556397568343,0.3290759950265163,1.3848961585169086
